,date,open,high,low,close,volume,average,barCount
209,2022-09-28 06:58:00,3661.18,3661.69,3656.15,3657.22,0.0,0.0,117
210,2022-09-28 07:00:00,3656.83,3671.25,3656.83,3664.95,0.0,0.0,119
211,2022-09-28 07:02:00,3665.19,3665.21,3654.82,3659.77,0.0,0.0,118
212,2022-09-28 07:04:00,3659.53,3659.53,3652.07,3652.63,0.0,0.0,114
213,2022-09-28 07:06:00,3653.0,3658.68,3652.12,3652.41,0.0,0.0,117
214,2022-09-28 07:08:00,3652.38,3653.13,3647.27,3647.27,0.0,0.0,115
215,2022-09-28 07:10:00,3646.01,3651.32,3646.01,3651.08,0.0,0.0,117
216,2022-09-28 07:12:00,3650.83,3652.33,3649.21,3652.33,0.0,0.0,117
217,2022-09-28 07:14:00,3652.4,3656.2,3647.77,3647.77,0.0,0.0,118
218,2022-09-28 07:16:00,3648.05,3657.28,3647.8,3656.98,0.0,0.0,118
219,2022-09-28 07:18:00,3657.03,3657.76,3654.3,3656.46,0.0,0.0,117
220,2022-09-28 07:20:00,3656.45,3661.15,3656.33,3658.84,0.0,0.0,119
221,2022-09-28 07:22:00,3658.92,3665.86,3658.92,3665.26,0.0,0.0,118
222,2022-09-28 07:24:00,3665.25,3669.52,3665.25,3666.71,0.0,0.0,119
223,2022-09-28 07:26:00,3665.93,3672.23,3665.81,3671.18,0.0,0.0,116
224,2022-09-28 07:28:00,3671.24,3675.81,3670.98,3675.81,0.0,0.0,117
225,2022-09-28 07:30:00,3677.35,3678.15,3673.92,3675.21,0.0,0.0,118
226,2022-09-28 07:32:00,3675.03,3678.71,3674.19,3675.49,0.0,0.0,114
227,2022-09-28 07:34:00,3675.21,3677.67,3675.21,3677.1,0.0,0.0,115
228,2022-09-28 07:36:00,3677.13,3683.63,3675.66,3682.91,0.0,0.0,119
229,2022-09-28 07:38:00,3683.07,3683.69,3674.74,3676.0,0.0,0.0,118
230,2022-09-28 07:40:00,3676.29,3678.79,3675.36,3678.78,0.0,0.0,118
231,2022-09-28 07:42:00,3678.8,3683.49,3678.8,3683.08,0.0,0.0,114
232,2022-09-28 07:44:00,3683.12,3687.47,3682.12,3686.42,0.0,0.0,116
233,2022-09-28 07:46:00,3686.45,3688.22,3683.23,3683.5,0.0,0.0,116
234,2022-09-28 07:48:00,3683.48,3685.66,3682.01,3685.66,0.0,0.0,115
235,2022-09-28 07:50:00,3685.75,3685.86,3681.07,3682.8,0.0,0.0,118
236,2022-09-28 07:52:00,3683.14,3684.8,3681.82,3684.75,0.0,0.0,119
237,2022-09-28 07:54:00,3684.87,3685.44,3682.73,3683.08,0.0,0.0,116
238,2022-09-28 07:56:00,3683.05,3683.12,3678.48,3679.88,0.0,0.0,117
239,2022-09-28 07:58:00,3680.22,3680.53,3678.28,3679.51,0.0,0.0,116
240,2022-09-28 08:00:00,3679.36,3681.51,3676.4,3681.45,0.0,0.0,117
241,2022-09-28 08:02:00,3681.42,3685.56,3679.06,3685.5,0.0,0.0,114
242,2022-09-28 08:04:00,3685.39,3687.21,3679.62,3681.31,0.0,0.0,116
243,2022-09-28 08:06:00,3681.37,3682.41,3678.72,3680.85,0.0,0.0,116
244,2022-09-28 08:08:00,3680.82,3682.42,3677.89,3677.89,0.0,0.0,114
245,2022-09-28 08:10:00,3677.96,3682.56,3677.46,3682.53,0.0,0.0,115
246,2022-09-28 08:12:00,3682.45,3685.55,3682.11,3683.55,0.0,0.0,116
247,2022-09-28 08:14:00,3683.65,3684.73,3680.79,3682.62,0.0,0.0,112
248,2022-09-28 08:16:00,3682.63,3685.13,3681.65,3684.9,0.0,0.0,117
